120 7000
63 48 11
118 49 49
39 57 17
96 30 30
58 44 48
49 90 33
51 82 28
39 18 25
9 23 34
44 98 20
109 68 41
20 51 26
20 70 39
108 9 23
92 35 9
15 119 27
109 102 39
63 78 11
50 10 13
64 112 40
8 91 36
120 7 22
11 44 40
48 74 41
66 25 1
55 79 21
23 50 38
107 99 13
72 86 37
64 89 29
62 9 8
100 20 20
11 62 30
98 1 13
30 101 26
45 92 6
113 92 29
90 57 16
18 69 12
67 65 19
91 109 31
30 93 27
38 3 5
2 75 19
77 91 2
24 64 3
84 81 40
12 19 50
104 105 45
13 110 20
1 105 22
9 81 1
34 8 34
57 102 15
74 109 31
107 13 43
79 10 47
96 40 47
8 75 17
73 87 16
83 114 45
14 55 41
61 77 20
31 1 47
89 111 9
97 6 6
69 89 13
50 20 30
59 72 35
62 45 41
67 27 46
20 85 26
94 15 30
33 9 16
57 34 15
2 104 36
49 59 25
114 69 38
81 46 11
65 68 26
30 16 35
85 32 17
50 110 44
63 12 46
80 40 4
111 7 44
92 15 15
17 38 47
111 42 1
34 7 37
55 6 16
105 13 14
21 5 40
17 114 42
7 3 19
44 16 23
76 3 9
29 78 43
9 78 42
96 14 20
99 15 38
5 9 42
25 26 40
55 33 11
85 25 27
37 82 44
99 103 6
67 8 22
23 83 28
6 105 19
8 24 24
116 27 24
117 57 21
4 74 32
26 11 5
48 83 24
95 38 13
106 10 50
45 90 39
25 90 38
117 94 24
4 28 37
16 50 43
70 90 5
38 103 49
102 55 3
94 25 47
65 86 42
62 71 2
27 74 34
91 82 7
59 18 3
68 112 36
68 31 47
2 1 31
5 29 10
50 95 4
110 78 10
107 67 8
59 6 33
25 71 1
107 66 12
82 84 6
41 97 6
46 82 16
117 52 40
56 36 36
18 28 29
3 30 35
98 10 9
32 82 41
57 47 50
49 50 5
10 104 34
12 116 38
60 77 38
90 25 11
72 16 46
15 6 46
56 108 33
4 38 41
22 103 29
17 8 5
106 7 7
50 14 28
54 20 13
66 1 18
95 97 30
36 88 2
2 12 31
35 15 49
46 58 22
111 48 33
52 80 6
11 56 37
8 100 21
49 4 23
27 41 4
111 40 34
59 12 39
33 7 25
37 32 23
108 28 36
107 91 31
29 74 30
18 92 40
54 4 18
91 53 32
50 71 23
96 89 7
48 33 3
106 2 26
85 46 7
37 103 24
70 5 27
108 118 50
22 49 48
85 118 31
99 59 42
108 111 47
118 19 38
90 1 30
106 32 26
96 77 10
101 24 32
9 80 22
40 2 10
87 7 49
39 23 8
110 38 34
62 118 35
107 42 44
67 103 45
107 86 50
7 51 7
53 71 37
100 109 24
50 100 40
78 20 38
91 50 16
26 9 14
33 66 42
8 110 38
59 20 10
32 119 29
78 66 46
20 116 36
114 14 8
104 45 7
92 61 27
54 75 45
93 118 40
103 67 1
62 104 5
92 95 25
46 24 9
93 72 45
89 100 35
77 31 4
112 88 23
44 112 41
81 101 4
51 70 33
11 25 29
72 10 44
83 115 17
9 107 6
13 111 5
11 104 29
50 79 7
95 69 10
107 11 23
117 61 36
42 119 2
108 107 21
60 110 41
119 36 34
34 4 25
39 112 25
105 92 41
108 4 44
55 76 31
88 65 46
50 67 10
78 28 9
91 112 38
10 46 40
114 78 19
27 34 43
118 87 9
18 64 20
109 72 3
42 107 5
48 50 49
83 66 30
77 61 17
14 48 27
76 104 10
98 42 29
62 4 29
116 62 45
74 83 17
9 95 22
58 105 32
36 109 8
38 47 26
100 17 6
60 3 12
28 70 3
63 31 48
105 2 16
37 48 22
23 48 47
22 70 41
81 111 21
66 93 25
2 28 43
