30 210
21 14 47
27 10 30
5 13 23
9 2 18
4 2 7
17 30 4
6 9 21
27 18 22
6 4 34
10 20 20
6 9 39
16 7 46
2 1 36
8 3 31
5 10 2
8 4 8
4 16 36
24 25 49
24 30 45
25 16 43
4 27 29
22 14 37
6 18 35
4 7 8
10 4 23
8 19 11
26 20 28
21 29 43
3 30 40
20 26 47
27 26 12
9 2 13
30 19 28
16 15 36
10 6 41
30 2 21
22 5 45
5 17 27
25 10 16
13 29 25
29 17 32
23 4 16
7 19 35
13 9 28
28 11 20
5 24 23
26 21 4
19 17 50
1 16 50
25 22 8
13 30 14
2 3 22
28 26 29
17 2 49
8 9 20
25 12 34
3 14 27
19 4 31
1 9 47
28 29 40
17 14 32
13 9 12
24 11 35
8 11 2
1 10 21
16 15 47
1 14 46
10 22 17
19 25 26
4 22 49
7 17 49
16 24 49
17 9 17
30 27 27
17 29 35
12 30 23
5 3 32
9 18 46
20 22 1
23 10 27
13 4 9
14 30 17
13 17 3
22 9 28
24 5 36
7 13 20
20 2 13
28 13 27
8 19 29
12 15 46
18 24 36
27 23 28
24 11 12
17 28 17
26 17 13
19 21 42
20 21 29
25 1 10
24 7 8
7 10 42
23 19 32
15 14 43
15 16 7
23 5 42
29 18 46
27 30 36
18 14 37
22 1 47
5 1 30
14 20 1
24 5 4
12 11 23
6 22 27
15 24 4
8 3 7
18 9 13
2 16 19
13 10 47
29 20 2
22 8 34
12 7 28
17 19 46
6 7 11
30 11 7
18 20 9
11 8 24
17 6 30
7 9 8
12 5 30
13 7 14
26 27 12
16 4 43
19 20 23
28 25 26
28 1 4
30 23 17
27 29 14
28 24 15
19 21 3
6 20 1
30 8 13
20 16 12
9 23 14
17 2 50
24 4 34
18 6 3
3 9 32
24 1 19
7 10 39
6 27 3
21 3 11
28 7 47
9 10 50
28 30 21
18 7 1
4 29 28
15 5 3
29 28 1
4 5 46
12 24 2
24 23 40
11 8 37
7 21 32
27 12 30
11 17 49
20 19 3
16 23 27
21 29 32
27 3 45
11 22 2
7 17 46
5 26 10
9 27 34
3 22 21
18 17 7
23 13 29
4 25 35
25 22 43
23 5 34
11 2 41
21 1 36
12 8 7
25 12 42
23 25 21
11 7 31
4 13 27
19 9 35
18 6 28
6 16 31
1 2 43
5 24 42
10 25 30
9 12 17
17 4 20
9 10 29
29 1 36
1 22 39
30 26 24
16 3 19
20 30 38
25 4 6
30 19 49
16 22 41
10 26 31
21 2 46
24 26 27
1 17 15
5 2 29
24 27 1
3 21 33
