130 8340
88 56 6
92 119 30
113 40 28
34 67 9
90 30 45
109 91 25
38 34 2
77 80 39
19 94 19
113 77 31
114 93 6
6 45 34
26 9 25
18 12 17
95 84 10
112 47 20
64 112 40
35 118 12
9 114 44
76 118 38
13 118 6
10 28 8
41 120 43
43 92 36
100 120 22
2 8 16
120 102 30
105 104 36
80 21 46
98 123 3
111 25 5
43 24 23
1 105 9
21 122 7
124 25 40
3 62 40
1 108 14
73 18 48
97 120 1
96 57 38
48 46 36
94 108 3
114 127 17
125 117 40
49 119 50
78 70 4
30 94 23
109 120 42
70 8 15
82 56 10
77 49 5
89 35 1
53 75 8
95 12 39
16 127 46
94 36 19
89 79 44
35 113 31
99 2 16
69 106 4
92 117 37
11 77 28
129 125 50
65 115 4
109 23 1
29 19 26
4 17 48
35 108 37
82 2 16
94 8 14
19 104 36
26 61 39
5 79 31
39 117 6
16 101 6
122 112 41
19 74 49
114 13 22
95 30 42
118 124 23
32 111 3
71 55 49
95 125 50
8 21 23
63 19 49
93 68 17
70 75 31
25 4 9
68 2 17
75 117 50
97 13 22
54 120 30
32 42 24
29 90 40
110 128 44
28 72 23
94 19 41
85 44 27
38 100 48
115 74 39
75 94 39
14 73 44
66 77 28
67 94 49
113 114 19
122 85 42
76 22 22
69 20 47
10 126 6
45 67 42
111 72 1
93 19 30
50 126 1
46 59 43
66 23 34
50 1 6
37 82 44
70 51 37
78 6 48
24 40 35
41 111 36
69 91 48
63 39 17
75 26 2
57 59 34
76 102 28
100 72 23
6 28 1
1 65 9
67 26 12
4 13 22
84 75 25
96 97 31
115 44 1
127 110 50
64 31 22
109 1 42
67 38 22
97 79 42
74 100 48
112 48 34
23 52 18
54 58 50
118 92 43
124 9 30
27 77 39
46 33 3
74 13 15
59 110 6
36 87 47
59 36 20
42 41 14
83 122 2
95 3 32
56 41 30
41 21 11
90 78 9
93 125 1
28 44 44
67 60 23
1 57 23
37 35 39
58 104 22
18 6 11
56 36 36
72 65 46
