250 14050
10 225 14
141 37 37
217 114 4
86 222 45
34 185 1
186 120 39
61 13 33
143 184 4
218 90 28
18 179 9
9 26 39
153 57 31
127 33 4
132 60 11
147 212 7
70 64 42
131 37 3
190 90 37
212 236 5
135 65 6
79 53 14
226 155 28
32 168 40
84 54 32
191 122 50
146 249 43
145 178 38
79 43 6
133 248 35
201 147 6
99 67 11
244 100 12
2 152 24
217 79 23
164 36 23
35 95 28
209 102 17
214 245 38
240 250 15
76 16 27
250 242 30
238 154 23
100 78 25
208 103 13
197 138 20
69 173 45
147 242 7
71 163 24
161 221 44
108 217 29
53 94 8
234 162 34
220 201 14
240 144 6
224 229 17
139 20 2
108 149 16
59 91 22
96 140 36
44 58 45
239 23 12
42 77 3
213 134 31
189 209 38
105 195 46
17 89 10
195 148 13
136 24 35
11 131 22
134 83 5
26 161 28
108 122 34
5 45 20
102 158 22
106 209 9
49 113 6
46 178 19
151 72 8
50 162 16
86 235 10
65 78 1
238 54 34
249 100 20
221 202 40
18 242 24
107 117 16
201 119 41
53 109 6
108 190 30
217 48 26
67 187 22
90 121 14
215 52 3
6 124 30
250 9 47
178 16 15
12 5 7
38 230 24
219 157 17
2 21 25
58 32 40
221 188 34
62 198 14
230 147 40
135 25 44
26 110 39
14 203 20
213 15 29
138 211 16
19 28 41
46 102 37
106 72 17
84 72 48
226 131 47
244 198 21
219 35 27
28 131 11
249 26 47
245 135 49
60 95 13
125 227 46
128 95 36
242 37 48
174 155 17
206 122 1
236 238 16
207 139 22
192 226 42
19 74 49
202 234 8
225 169 46
212 83 31
241 41 49
2 204 38
75 71 42
164 46 40
200 38 41
190 230 19
174 14 14
190 128 8
86 73 45
22 82 49
223 29 15
157 60 9
90 82 35
200 114 36
179 198 29
209 207 42
183 42 39
170 63 26
71 112 31
194 31 16
159 250 19
20 119 24
41 200 11
91 249 37
213 66 7
182 142 14
194 190 9
65 68 26
160 248 38
100 218 7
48 96 4
13 174 31
63 213 36
112 23 15
227 68 32
172 52 50
61 57 24
229 99 49
117 81 15
204 95 48
48 168 28
55 189 16
2 185 1
244 152 39
13 128 36
65 114 34
52 135 21
150 103 19
87 134 35
10 219 49
106 196 42
208 231 35
123 99 1
222 116 27
160 153 6
131 214 1
74 66 37
4 192 11
41 81 36
183 201 45
104 192 16
110 116 47
195 207 43
103 214 10
208 23 5
39 85 13
194 129 12
214 33 39
88 237 15
97 95 37
64 50 22
195 22 34
242 41 8
18 172 48
26 242 46
220 31 49
77 150 32
171 114 31
148 194 5
77 210 46
124 169 6
157 131 23
221 20 8
166 64 40
9 86 24
231 234 42
142 71 30
54 156 50
93 56 33
209 112 23
225 185 16
35 89 26
203 112 38
227 223 40
130 204 46
21 187 30
58 109 3
26 228 3
154 191 49
162 108 34
76 105 33
194 53 30
31 53 24
90 56 8
167 10 46
60 223 22
197 144 28
230 102 13
133 49 25
170 78 37
