70 1820
37 23 19
19 65 20
68 20 1
14 21 40
53 70 47
41 14 48
1 36 40
27 24 1
19 46 6
10 17 21
5 68 50
56 46 40
49 29 22
7 38 20
15 1 35
62 65 48
18 12 17
37 61 23
65 16 35
61 24 47
25 58 36
11 59 20
52 67 50
33 36 30
54 30 12
28 66 36
53 48 5
29 12 33
29 53 34
28 55 26
54 53 1
42 50 8
18 30 43
65 24 17
14 3 4
17 35 34
1 33 20
65 28 23
27 42 4
39 2 35
14 39 48
28 43 29
40 19 5
13 45 35
46 61 23
19 59 15
9 23 24
38 54 50
2 33 22
1 9 49
12 61 47
62 23 5
60 61 38
54 38 7
7 39 11
7 52 30
16 37 8
13 4 11
6 10 8
31 28 23
69 18 12
54 41 17
26 16 32
6 10 44
56 69 27
53 32 23
64 70 5
24 56 12
48 53 29
43 53 12
64 53 37
30 5 48
56 68 3
66 35 18
40 30 4
13 37 21
53 40 4
69 48 17
68 63 28
69 51 22
26 15 49
57 30 17
24 25 38
10 44 40
30 36 13
11 53 33
48 19 49
2 28 18
25 61 21
44 23 27
38 52 8
7 33 6
8 29 4
38 50 47
68 70 44
40 15 1
3 6 4
65 64 33
60 7 34
12 30 26
50 9 6
41 48 39
1 42 49
22 70 29
7 56 3
53 5 37
67 19 32
59 14 20
41 47 15
36 23 50
51 61 24
62 30 24
54 20 46
64 27 10
70 56 8
44 26 50
37 17 36
66 15 34
27 59 50
2 24 38
47 23 41
3 1 23
53 68 34
48 19 39
70 3 1
12 3 27
70 67 22
55 1 35
8 70 32
38 31 24
38 51 2
56 68 6
16 43 4
23 10 21
11 19 2
42 17 30
5 47 23
8 43 14
32 59 44
8 54 23
39 59 9
69 53 35
65 4 8
12 45 1
53 12 30
29 7 9
69 65 45
43 28 48
30 28 12
51 27 16
22 47 35
11 15 9
32 57 12
51 60 49
62 60 6
50 3 42
9 55 26
52 62 40
70 32 13
52 4 35
20 30 12
33 53 7
43 6 37
28 60 29
35 31 16
8 58 11
37 1 23
27 47 43
17 46 9
59 69 43
42 35 46
63 57 10
59 6 23
44 40 36
37 11 44
54 42 9
18 69 21
67 60 13
48 14 12
20 45 9
51 7 33
65 2 15
32 5 40
23 2 20
24 19 41
42 6 24
56 5 38
64 67 32
34 63 10
66 57 11
16 26 39
33 68 13
68 4 33
46 5 29
52 69 10
39 35 5
62 47 34
24 7 44
4 7 43
32 28 37
39 68 38
57 58 26
20 3 25
56 69 36
13 68 40
24 20 19
13 26 43
44 3 23
41 30 40
37 39 17
31 66 36
63 47 36
51 48 19
41 12 28
60 27 40
28 20 45
10 16 9
1 51 45
50 47 28
47 70 50
14 53 17
22 23 8
29 24 19
60 53 33
11 54 38
31 33 16
23 34 47
22 16 5
53 14 33
35 11 18
57 43 1
38 19 20
56 24 19
43 30 50
34 70 17
