50 930
5 12 6
43 29 3
11 9 24
24 42 17
30 33 14
30 41 27
28 13 44
33 6 49
16 11 16
39 26 29
23 20 48
48 6 18
16 22 25
34 48 14
11 21 16
15 25 6
23 32 22
42 19 44
27 5 6
11 10 25
44 13 34
12 46 41
1 10 24
31 32 44
48 20 47
15 47 2
19 29 38
19 33 45
49 45 21
50 44 6
17 5 25
18 34 41
2 18 24
49 25 33
36 10 20
33 28 26
38 10 31
23 8 23
16 11 2
20 34 5
14 22 9
31 20 29
33 28 44
36 41 25
32 16 36
12 16 35
37 46 3
31 29 25
12 38 32
28 17 9
5 26 30
15 23 49
41 11 1
48 17 37
1 10 37
36 37 18
20 9 24
12 20 29
16 48 14
35 19 1
34 32 6
34 23 37
47 41 16
34 31 50
34 23 46
13 30 41
38 25 42
9 8 12
16 9 49
39 14 27
22 15 42
45 50 36
23 42 29
39 41 8
36 2 38
2 29 43
41 26 21
4 49 23
5 37 16
24 41 20
25 42 40
7 34 22
19 7 23
32 9 1
28 17 13
26 28 20
1 21 14
13 38 32
3 44 18
39 19 7
24 33 43
44 5 38
15 24 27
36 24 43
18 20 2
5 49 26
28 6 12
20 28 41
43 49 38
49 21 26
35 48 41
33 47 12
24 34 35
17 13 10
47 43 30
8 26 22
35 32 33
18 4 3
47 25 3
35 40 46
31 16 22
49 35 46
8 17 40
39 3 22
31 16 49
2 27 1
15 27 46
30 41 3
17 50 50
21 26 6
10 46 24
21 47 38
1 36 43
15 31 25
13 49 9
8 21 46
6 25 5
44 24 19
48 28 27
37 15 14
30 35 35
19 9 27
35 15 21
9 3 40
4 11 9
38 47 42
44 38 39
20 28 36
46 26 11
39 9 46
22 45 28
27 38 24
21 9 47
43 37 40
47 43 25
49 22 4
43 18 45
46 26 38
4 36 29
20 39 23
24 30 5
41 37 3
34 22 49
22 15 23
12 34 20
36 44 16
50 12 44
27 11 33
20 2 10
6 21 12
31 38 50
15 31 2
22 21 21
13 14 19
30 21 1
34 5 14
36 2 28
4 40 35
20 16 21
33 27 42
2 10 10
42 37 41
38 13 17
8 24 43
49 29 2
26 38 14
14 24 30
2 45 4
35 36 48
22 25 45
16 6 2
2 14 16
1 12 31
39 1 46
26 19 46
35 41 1
48 23 10
17 15 37
23 27 17
6 9 15
42 44 49
10 14 44
15 46 31
15 8 14
16 31 31
6 29 11
49 16 13
23 44 33
22 9 23
37 26 5
47 5 38
29 14 41
6 43 31
48 8 30
33 8 33
33 42 35
41 48 21
23 33 32
19 40 14
38 28 1
40 10 26
12 11 31
28 8 7
40 21 35
26 48 50
46 33 40
48 19 17
18 2 28
34 20 12
11 4 14
20 30 45
26 38 36
18 21 50
17 3 49
41 29 34
28 23 13
7 18 40
36 50 31
32 4 10
29 11 7
23 6 47
22 39 41
43 11 23
24 36 47
36 10 4
4 28 42
6 20 37
22 29 6
30 50 46
7 33 19
26 14 29
10 15 31
49 28 28
17 19 47
5 2 38
23 2 40
46 29 47
14 1 37
47 50 13
44 45 45
8 3 1
29 3 17
7 3 14
29 18 15
49 19 46
44 27 15
15 22 37
31 12 14
27 15 7
48 38 25
48 42 23
15 3 42
27 28 44
46 2 47
19 50 49
42 22 33
5 13 16
25 6 35
41 13 30
33 18 41
27 40 45
32 14 37
5 44 3
47 27 38
23 40 44
41 1 34
13 2 30
29 33 8
1 38 24
2 9 40
22 20 50
39 5 11
17 39 11
36 43 23
28 37 46
29 34 9
40 9 42
43 45 34
2 39 49
46 10 19
43 6 33
36 46 24
1 35 27
24 43 49
32 2 49
6 17 4
49 12 10
26 12 1
1 47 1
21 35 3
2 36 25
9 10 19
38 31 10
34 4 2
9 10 28
42 24 46
12 15 14
15 41 14
2 6 11
20 34 19
30 20 13
23 10 25
22 42 42
25 33 29
43 13 31
25 21 36
48 3 49
11 18 47
37 25 12
26 39 48
9 25 3
2 32 14
24 35 13
43 6 37
31 44 45
42 2 36
46 35 25
42 14 1
40 14 8
27 28 43
1 34 17
14 27 39
7 39 48
30 7 42
39 43 28
27 29 35
32 34 14
42 25 6
36 42 30
10 28 35
13 35 26
7 1 30
3 38 25
3 19 21
44 25 34
5 1 46
30 42 17
16 41 42
6 31 46
41 28 14
31 8 11
49 19 22
31 41 17
20 38 11
45 25 11
44 3 24
4 20 37
18 43 9
22 43 10
47 42 12
46 12 37
25 36 25
39 31 13
20 30 34
2 13 14
44 15 25
39 50 35
20 42 8
25 36 43
22 24 33
44 7 30
33 45 25
35 27 50
17 36 44
35 23 16
21 35 11
29 2 24
32 39 33
11 37 23
2 11 25
48 49 6
36 12 11
1 48 40
7 13 26
43 24 36
18 8 28
34 40 36
14 15 10
35 38 28
24 31 33
19 8 24
14 34 32
32 17 50
44 3 37
12 29 23
15 3 22
19 8 42
