120 5460
45 20 33
96 62 19
39 18 25
93 77 37
50 98 5
106 20 3
87 69 12
70 64 42
26 32 9
79 53 14
119 36 19
114 102 11
100 66 15
92 88 20
92 5 22
6 53 16
74 12 1
8 10 47
120 19 32
20 16 45
31 81 44
15 66 29
56 27 40
42 43 5
97 85 44
29 58 5
26 54 10
20 9 42
106 96 11
14 70 30
92 35 22
95 8 28
62 4 14
113 92 29
52 90 47
32 110 48
119 93 14
63 112 22
103 74 28
44 12 50
86 101 10
83 105 20
47 17 45
2 109 17
97 67 3
50 81 27
115 52 25
83 43 44
45 8 25
87 89 37
61 20 8
97 52 1
116 55 40
83 115 41
20 36 13
16 109 5
75 57 23
102 14 27
81 77 21
120 25 38
1 12 36
96 26 4
22 67 34
102 74 14
7 52 43
24 15 16
81 28 21
8 44 7
24 110 24
113 117 48
9 76 20
8 78 5
59 26 40
97 77 7
20 36 26
71 73 39
103 95 46
76 12 1
63 12 46
60 95 26
66 103 44
106 25 39
64 62 19
38 42 43
23 64 2
10 82 44
45 75 41
24 33 19
99 73 43
76 22 22
61 64 40
3 12 19
66 30 37
73 3 48
27 40 23
102 39 46
76 75 33
25 83 22
12 98 22
52 40 26
84 19 9
96 25 7
79 14 20
104 120 5
80 111 18
93 90 31
79 48 18
73 9 41
59 22 1
21 99 38
96 9 39
64 87 38
62 7 17
41 111 49
58 74 22
30 43 19
108 71 30
22 24 16
75 26 15
20 49 48
9 81 43
99 12 22
23 59 34
11 110 18
88 23 18
22 20 18
30 54 6
24 9 38
104 73 27
79 85 34
48 120 40
68 1 33
24 104 46
119 23 10
27 9 39
63 79 21
17 8 5
91 111 24
116 120 39
15 33 41
104 34 48
56 113 3
34 71 37
4 119 6
64 61 11
18 4 35
42 5 23
111 101 44
48 22 16
37 55 7
56 117 14
54 30 34
62 40 18
63 40 42
94 45 28
14 108 43
63 116 37
31 13 48
20 15 22
98 9 39
104 7 49
108 16 39
63 28 45
32 67 28
50 78 39
62 100 45
87 30 33
15 97 15
96 35 13
31 45 13
49 56 24
93 119 23
8 103 22
70 49 46
65 1 40
78 119 44
57 99 40
109 100 19
62 116 2
20 63 25
52 68 35
120 8 7
87 23 6
77 53 46
38 6 50
96 88 37
104 30 22
110 72 45
104 45 7
120 114 29
23 4 32
63 17 3
24 14 50
107 106 18
87 45 7
67 17 31
88 98 18
22 50 16
48 77 48
92 81 19
70 8 4
80 21 48
35 14 41
3 2 28
56 11 34
10 42 29
37 102 3
109 48 47
26 73 25
13 106 11
95 81 20
83 119 28
18 37 25
22 15 35
115 3 14
96 18 48
92 48 47
114 81 24
119 63 29
13 110 22
60 95 2
62 68 14
97 78 19
41 25 26
50 77 31
120 32 43
87 6 41
21 59 23
61 97 1
24 87 2
55 59 40
58 6 26
102 100 32
87 82 36
93 38 19
113 38 50
68 7 13
16 20 19
22 63 38
27 4 5
99 16 50
111 105 46
26 91 41
67 45 38
84 11 16
93 29 27
12 83 26
11 65 9
16 92 16
55 52 13
7 94 18
102 115 30
42 90 27
73 98 18
3 93 10
92 77 50
39 44 14
52 28 18
106 13 44
105 27 35
8 70 21
95 117 2
33 99 45
4 81 37
63 103 4
116 91 11
85 36 43
113 53 24
34 39 4
34 83 10
72 88 46
27 40 38
34 120 50
83 50 7
35 74 26
22 29 12
43 86 19
99 1 10
46 33 5
120 97 9
99 77 5
72 77 45
3 115 24
80 79 44
24 55 35
95 70 24
9 81 45
84 116 41
22 100 13
13 44 6
57 10 12
32 3 6
2 112 22
92 111 37
107 78 24
117 45 2
30 24 21
1 11 30
104 68 35
7 108 46
103 64 40
67 90 25
59 93 17
81 7 6
31 18 31
107 108 24
111 17 39
39 110 47
29 55 6
19 83 34
27 90 6
106 2 15
69 110 8
45 59 20
90 5 17
60 109 5
102 30 28
9 43 8
46 51 21
92 39 39
26 77 40
115 109 40
16 76 6
101 66 18
77 35 32
93 89 12
105 106 20
91 30 50
5 49 37
75 36 34
72 46 24
50 51 46
41 72 31
66 63 29
105 60 25
9 43 21
82 71 41
27 66 12
113 93 17
87 91 45
56 81 12
85 18 31
17 32 30
29 57 41
118 12 37
112 108 8
30 37 43
29 92 35
106 43 42
48 77 24
32 36 20
29 43 35
48 70 21
60 111 40
70 106 30
120 114 18
