100 1900
46 81 11
56 49 46
30 53 1
6 33 24
75 89 3
56 100 48
66 6 47
65 36 14
61 43 24
79 1 4
27 61 4
29 100 25
64 36 45
67 5 19
8 49 34
70 24 5
44 40 14
62 74 16
52 19 10
78 16 20
89 53 37
91 45 33
100 47 37
59 26 37
92 91 30
77 38 19
100 5 40
25 99 45
28 31 19
41 87 23
22 49 26
82 71 17
15 81 13
58 52 42
76 91 34
4 72 7
18 8 1
54 87 7
83 73 31
96 3 39
55 6 49
60 61 38
38 44 42
66 9 11
96 49 11
92 87 45
26 4 22
4 79 23
71 3 26
97 58 39
30 40 29
24 82 29
77 79 5
81 63 2
36 10 28
3 59 20
76 88 5
41 70 32
56 69 27
29 76 44
29 77 9
59 49 10
2 74 36
79 72 31
13 71 42
19 33 12
70 97 42
26 12 3
43 88 33
55 94 31
83 68 50
67 27 46
27 22 21
38 56 1
58 62 45
96 33 21
69 32 9
36 1 41
11 85 17
61 4 13
88 5 25
9 3 35
25 4 9
98 30 43
36 67 22
17 16 24
10 95 5
93 72 23
73 7 5
69 13 31
46 98 21
24 70 45
99 58 22
63 38 40
40 90 32
15 81 16
59 86 31
78 26 49
50 49 42
97 11 38
24 6 1
8 13 37
45 80 12
50 8 46
4 25 19
36 92 28
50 31 29
74 67 37
8 63 10
67 11 28
13 86 16
96 83 12
71 28 22
1 100 31
69 5 45
42 6 44
80 77 20
80 23 49
14 95 44
47 38 48
13 79 13
39 48 23
75 34 6
18 44 20
19 61 41
35 28 16
19 81 19
32 60 32
14 99 14
88 36 2
25 23 12
54 66 49
74 86 28
20 18 47
71 54 15
96 14 33
4 36 5
5 52 16
88 77 12
37 66 13
25 18 18
32 90 32
79 86 22
14 4 19
32 30 17
32 94 38
15 76 12
66 27 22
66 100 6
66 30 27
45 7 18
57 29 24
2 46 39
81 86 27
2 85 2
24 54 45
51 95 12
10 2 23
95 48 17
50 19 22
21 31 37
22 88 50
33 65 17
63 98 34
80 94 40
5 44 2
8 31 30
86 67 44
73 43 29
43 10 48
19 27 15
92 21 11
8 4 12
41 100 29
97 3 14
7 46 46
42 41 4
28 60 6
26 59 48
43 89 48
82 4 31
1 44 38
70 74 28
62 97 22
18 24 13
81 29 36
57 19 49
48 93 40
68 27 39
93 55 12
45 40 41
13 85 31
67 71 22
99 91 12
13 35 30
55 99 21
97 94 30
15 64 5
61 25 6
63 76 1
30 16 5
65 25 34
17 78 18
43 18 1
11 3 2
100 93 31
34 56 7
77 96 18
57 96 17
24 5 35
3 26 32
29 74 7
14 22 17
84 100 39
48 78 46
35 46 27
54 95 33
97 19 12
5 81 1
32 85 18
65 66 48
31 66 36
98 63 23
56 2 18
23 17 17
3 37 18
48 64 3
16 29 26
71 76 32
2 71 48
32 58 36
89 65 23
9 95 42
9 96 7
95 62 39
29 20 49
54 20 16
90 42 44
30 56 31
20 7 8
5 28 2
77 7 43
94 29 15
33 74 46
8 46 17
48 10 9
42 36 14
81 82 14
22 53 8
40 99 40
12 89 5
54 83 49
69 19 12
67 85 45
84 29 5
84 20 36
7 46 26
21 40 43
92 43 15
1 13 31
86 59 25
30 49 5
10 43 17
48 54 29
14 63 16
23 94 47
44 22 4
36 44 33
76 36 7
47 82 15
77 88 22
9 99 2
39 61 2
11 31 45
10 84 26
15 86 9
67 78 19
62 54 17
64 81 32
74 3 39
76 42 22
56 95 33
34 54 26
16 40 39
70 18 26
51 16 39
17 28 33
96 90 37
6 63 3
54 82 38
12 4 31
60 80 18
6 60 34
64 96 47
38 74 31
6 83 17
67 23 24
54 44 11
32 91 36
3 6 39
84 42 14
86 47 41
12 94 46
52 86 20
41 60 12
16 5 22
3 97 13
46 56 31
57 48 46
22 47 44
33 24 48
57 41 43
78 76 26
34 4 38
54 94 25
20 47 25
39 36 48
51 55 16
57 6 21
38 36 17
97 1 37
16 36 23
24 44 40
73 61 2
42 56 16
61 65 17
62 41 37
92 22 44
52 89 38
83 35 19
92 87 24
7 29 25
96 90 27
45 91 39
95 31 9
17 27 27
20 95 42
3 16 37
55 2 35
60 22 3
80 74 27
54 66 25
48 80 25
55 39 38
6 55 30
99 43 9
74 6 11
91 33 5
30 69 48
33 65 39
35 22 26
29 64 26
68 51 33
77 44 39
66 12 13
57 44 38
95 64 19
81 34 16
75 22 21
52 74 13
86 66 21
5 66 48
36 24 3
55 78 43
28 79 42
36 58 32
69 50 41
5 59 45
28 27 31
69 13 10
79 82 36
26 72 9
52 39 27
87 55 14
89 38 16
67 73 5
20 1 25
24 92 48
53 84 3
94 4 13
52 81 29
31 69 29
17 54 7
22 75 2
73 25 10
8 97 10
83 45 36
41 66 8
33 96 17
44 52 46
25 40 39
45 52 14
7 85 45
47 100 2
100 49 19
20 45 44
11 91 29
8 1 19
19 50 10
50 8 2
27 51 25
96 35 35
40 22 10
4 96 35
88 49 36
19 35 3
30 80 24
94 83 31
58 1 12
70 16 35
21 4 45
95 9 50
10 37 5
46 71 9
41 35 33
66 54 13
15 17 49
82 72 39
1 31 9
96 84 48
43 13 42
32 44 16
1 64 42
4 53 50
68 95 47
70 66 13
27 50 42
49 99 21
11 46 12
7 93 39
68 51 13
37 66 5
80 83 32
87 35 38
93 14 5
85 28 6
37 59 2
23 51 50
38 49 42
75 5 33
27 90 6
61 22 25
98 44 22
84 56 17
86 61 7
20 19 17
14 23 2
67 94 8
