230 13040
175 179 46
230 195 28
121 18 23
84 142 24
204 129 4
121 196 29
107 153 7
92 61 25
104 224 7
92 195 25
164 165 16
63 85 14
134 14 37
59 92 5
198 182 30
93 197 38
150 199 35
89 183 31
38 30 4
5 145 9
221 163 15
13 201 41
130 77 44
4 71 29
177 20 27
68 38 32
179 10 6
179 92 45
157 14 39
216 40 7
220 106 6
197 157 33
53 219 3
107 57 16
185 52 29
156 134 23
154 222 44
148 176 30
79 99 22
150 95 35
111 25 5
46 73 20
166 142 39
119 140 5
76 72 43
160 161 30
26 131 28
68 209 35
192 201 23
226 101 34
140 197 12
136 165 38
155 166 4
105 16 44
209 7 22
5 126 9
45 9 8
127 10 6
71 215 12
42 214 8
137 37 35
43 114 37
41 194 5
32 59 2
72 42 7
229 24 24
155 52 23
188 62 17
141 136 5
125 68 40
66 161 23
96 129 35
23 84 49
62 145 30
181 102 43
55 90 48
120 181 43
208 140 29
31 138 39
208 79 19
143 52 39
62 87 25
30 79 21
97 203 12
8 19 1
170 10 2
213 198 29
169 6 7
161 53 42
137 162 43
105 134 49
223 26 27
18 113 31
127 28 36
41 15 16
41 101 19
172 178 28
188 145 28
226 89 50
40 44 47
126 65 15
154 60 8
1 230 30
45 4 27
123 155 28
67 76 46
40 2 50
101 41 12
99 43 30
39 199 45
223 94 23
94 179 17
4 140 10
26 137 34
86 154 34
82 48 24
48 168 15
144 190 47
19 74 49
23 166 37
157 67 12
12 213 13
82 210 22
197 209 47
152 161 39
142 125 11
22 123 50
139 159 42
170 223 15
210 27 18
194 229 1
206 34 9
180 30 41
95 25 48
83 10 1
136 39 9
14 119 39
230 137 8
127 190 47
144 175 45
60 19 31
141 24 19
173 186 13
13 155 18
8 192 26
121 158 18
6 119 49
156 181 43
126 125 42
152 111 43
57 32 26
21 93 32
117 8 25
42 33 43
109 212 7
40 53 28
105 100 10
136 210 12
103 91 48
230 133 10
75 94 39
59 155 46
42 109 38
218 169 13
214 61 17
105 154 17
20 149 24
177 104 6
73 75 32
229 210 1
41 162 25
57 120 31
189 129 17
16 4 22
25 11 25
76 121 28
6 66 14
226 195 21
53 43 28
52 70 13
94 167 33
174 184 34
37 112 31
59 9 49
60 25 24
195 63 35
157 36 15
120 207 4
155 57 46
172 110 4
116 191 11
193 44 28
59 222 49
114 137 47
27 193 9
214 144 28
24 63 19
11 58 17
179 209 29
41 153 33
146 141 30
37 200 36
208 43 41
168 138 17
116 5 6
156 7 24
228 94 7
168 173 11
142 150 30
151 82 1
230 128 29
113 190 27
103 58 5
130 63 43
7 79 27
45 90 39
153 189 13
152 51 18
84 170 33
190 196 30
158 215 24
17 7 50
114 160 7
31 167 18
167 2 47
124 127 22
30 149 1
76 93 36
23 89 21
73 97 46
24 199 41
203 227 1
7 108 31
210 91 42
195 93 48
127 171 6
60 150 45
125 196 38
159 96 49
159 55 11
201 152 31
98 75 17
107 67 8
112 211 38
191 123 47
3 53 46
115 43 18
51 14 46
122 62 20
221 228 27
229 125 10
171 194 13
54 40 9
180 227 5
137 118 42
38 85 8
102 179 15
222 226 46
145 131 31
179 190 5
225 131 35
121 38 46
66 80 5
212 130 27
150 167 6
226 164 37
141 159 44
58 80 15
9 162 8
39 137 27
105 159 40
102 28 4
43 47 38
26 75 16
185 84 49
99 137 30
114 34 2
27 111 50
82 5 19
103 182 30
116 227 44
180 14 18
127 56 32
144 105 45
40 86 5
161 176 46
213 136 24
15 165 39
199 19 16
205 65 30
69 141 16
214 129 15
75 44 18
42 174 4
140 28 42
85 70 1
196 143 27
185 197 47
54 157 18
103 94 38
204 57 37
62 52 15
139 112 9
220 171 31
157 51 2
167 78 31
87 195 30
92 222 37
43 130 49
66 57 34
181 37 9
170 130 14
16 48 50
227 83 5
71 83 45
2 46 29
2 225 31
218 8 16
22 68 48
109 85 8
86 136 35
99 79 38
130 226 9
1 144 18
67 166 31
54 206 31
95 187 44
75 104 45
45 29 31
74 81 37
4 114 49
63 21 29
69 19 9
95 2 35
47 227 44
120 34 34
61 201 3
144 164 49
34 100 41
224 40 24
58 170 42
165 219 47
152 193 46
33 22 10
35 38 46
125 70 9
126 187 36
101 84 6
98 188 41
79 186 48
75 13 48
101 1 8
118 225 22
3 224 11
151 168 26
31 140 8
143 213 38
105 60 23
57 221 17
127 78 46
21 151 28
142 229 15
177 144 12
161 189 11
158 59 21
110 84 29
18 198 35
98 215 36
4 229 12
68 148 18
182 90 30
81 44 33
191 81 25
211 141 40
105 87 18
214 54 32
81 203 26
219 196 26
169 140 24
