75 1900
68 7 31
15 21 8
46 19 36
30 64 10
43 62 36
36 68 2
18 23 27
1 40 46
61 74 48
43 20 12
42 23 50
4 65 13
72 17 45
49 56 12
42 56 47
72 29 19
10 4 23
52 67 50
58 31 6
5 41 37
9 72 47
50 13 24
56 55 17
30 10 16
8 64 18
33 63 20
74 15 6
31 41 8
10 31 18
47 60 30
68 33 38
53 43 48
59 38 47
30 36 46
58 11 5
66 21 8
55 54 5
43 38 42
40 68 41
27 41 44
7 45 13
24 75 13
25 72 32
45 43 6
64 4 47
55 57 15
50 28 16
35 49 10
27 72 4
74 64 24
46 12 23
51 66 15
27 7 23
23 61 2
3 54 49
18 56 50
47 22 16
2 7 5
57 75 34
34 1 31
64 1 50
32 16 17
41 3 42
9 34 10
27 26 14
70 72 13
71 60 7
10 38 47
15 58 15
46 64 10
17 23 50
74 66 47
24 64 16
52 14 6
24 10 45
55 7 27
5 60 18
61 23 49
15 47 5
14 9 10
33 32 27
35 63 43
75 27 36
44 11 39
20 1 33
17 42 41
55 58 50
19 51 1
48 69 14
37 60 8
4 75 7
75 69 10
37 21 16
23 46 12
49 54 31
50 23 12
7 10 23
3 24 16
10 56 50
19 43 38
70 59 28
65 30 35
51 9 1
55 74 35
27 56 27
4 21 8
45 42 8
68 28 47
55 56 17
69 70 12
27 45 17
12 48 44
41 59 12
70 63 34
73 45 9
26 38 9
70 33 11
61 24 4
60 67 21
9 37 10
41 50 48
53 5 1
14 61 47
43 18 44
44 61 30
37 73 39
30 51 5
29 75 10
54 40 19
5 74 27
65 22 44
44 66 1
18 9 26
5 2 38
23 75 24
29 26 10
27 70 23
66 36 8
72 47 7
17 3 44
41 33 9
27 10 14
11 34 46
26 2 41
15 50 19
20 12 9
6 29 1
12 26 10
17 7 50
63 15 46
40 71 8
26 49 9
65 45 10
33 27 36
6 66 4
29 36 36
47 8 38
11 45 32
12 22 17
43 30 8
15 7 34
28 53 13
61 15 30
34 49 1
26 64 29
12 44 41
33 30 19
5 55 4
6 23 20
40 28 23
36 35 14
50 3 42
62 51 37
74 66 4
52 65 45
14 34 24
19 61 31
9 5 25
8 55 1
52 23 48
57 70 33
57 17 27
50 42 6
68 12 47
3 4 18
68 16 17
21 43 11
70 5 37
22 17 26
52 17 9
43 63 18
9 63 7
13 1 24
15 52 18
2 19 34
6 43 11
41 5 21
14 45 10
21 5 20
16 68 23
35 9 6
33 14 29
14 49 16
57 9 36
54 13 9
56 43 29
9 50 45
25 9 16
44 72 25
20 1 3
15 51 30
13 12 47
35 47 10
36 64 31
3 50 3
11 52 2
13 48 5
35 46 50
35 30 42
41 73 25
42 35 23
37 39 40
26 25 5
27 20 38
15 59 11
22 42 9
31 6 44
49 34 28
10 69 44
15 21 20
22 62 23
61 13 45
62 42 40
10 21 3
65 55 39
26 10 2
37 8 29
3 26 9
26 46 41
46 17 16
6 30 39
31 30 6
18 46 27
64 13 46
23 20 28
45 42 40
43 13 20
42 8 23
62 4 26
21 10 43
27 19 32
46 68 38
12 1 36
72 29 44
18 57 13
31 15 3
11 60 10
32 40 1
28 59 22
13 68 30
16 44 24
54 45 22
67 16 31
61 55 37
27 61 6
66 36 40
21 33 40
35 21 45
3 66 35
47 6 20
41 22 31
29 72 50
56 16 28
72 11 9
49 48 15
75 23 37
71 37 30
6 53 18
17 51 8
1 20 47
35 6 37
47 32 50
51 31 46
40 72 41
16 40 3
68 4 13
17 1 43
12 53 37
33 66 32
60 12 27
8 38 3
53 24 36
58 11 7
3 55 39
2 60 5
12 61 13
8 21 35
58 75 27
32 50 4
1 10 16
26 50 19
25 65 31
47 2 4
44 51 16
67 39 4
16 40 16
55 34 6
61 5 26
69 13 43
26 74 3
43 30 17
50 31 28
35 52 22
5 63 48
52 20 47
52 48 29
58 52 21
31 28 25
23 31 17
13 14 26
7 53 32
74 64 3
6 14 16
37 30 5
26 42 28
68 52 43
36 5 36
72 37 29
9 38 18
42 56 16
8 48 7
42 12 9
64 69 47
75 23 4
74 67 49
59 75 42
19 70 17
59 22 36
59 26 6
49 69 41
58 22 11
40 52 30
55 36 33
59 70 48
29 15 12
2 67 12
74 47 48
10 37 2
25 19 26
25 71 36
2 21 17
74 32 41
29 44 47
5 66 48
11 51 3
