30 940
18 3 49
10 28 13
9 8 49
20 25 23
15 29 31
9 20 14
29 12 20
16 3 3
22 11 18
20 3 13
22 30 40
27 23 45
3 6 47
25 24 11
7 16 5
5 26 44
8 16 1
18 11 16
1 10 24
23 1 34
13 27 23
1 25 3
15 1 44
13 11 15
9 19 27
26 9 25
23 5 31
13 8 46
11 5 22
2 26 10
12 1 29
26 4 32
25 9 12
17 9 4
6 11 23
26 16 15
29 23 43
4 27 13
19 3 40
18 15 27
26 16 33
2 6 46
6 2 32
11 18 15
3 28 42
24 11 24
3 29 16
5 18 26
8 22 30
1 29 32
25 1 22
14 26 6
30 22 26
9 27 17
3 21 39
6 18 3
15 16 28
18 12 3
8 18 5
29 30 23
16 25 21
6 26 25
5 7 25
7 15 40
20 29 20
2 14 31
19 10 29
22 6 28
19 2 25
22 15 6
1 6 21
13 23 2
28 10 5
7 23 8
21 3 1
4 15 16
21 22 14
28 12 42
29 23 29
13 4 16
28 13 7
16 2 10
18 19 2
20 1 43
28 13 25
12 16 12
7 4 3
2 29 34
14 2 35
14 20 43
3 9 33
18 7 36
22 11 26
20 16 31
28 25 17
15 13 12
27 18 33
12 11 46
21 17 47
13 11 5
6 28 39
13 8 27
18 22 39
28 19 49
18 14 35
5 19 3
30 7 5
14 17 28
24 3 38
25 26 46
27 30 43
28 23 19
24 18 17
30 29 29
21 22 27
23 19 41
17 9 3
2 29 29
22 30 16
3 28 32
5 26 29
25 11 35
5 6 23
6 22 27
7 27 5
1 10 27
30 14 12
11 20 32
21 17 42
25 23 27
4 14 5
19 9 45
24 14 15
13 19 22
16 6 16
23 7 44
23 19 9
7 8 9
25 8 20
30 5 48
9 8 20
3 24 39
1 24 46
20 23 33
30 9 27
25 20 12
17 23 9
18 28 49
2 10 1
10 18 46
3 17 36
16 24 5
11 8 44
16 12 49
8 14 11
18 2 24
21 9 15
26 30 10
25 3 35
28 19 12
15 1 24
25 23 31
8 13 42
22 3 26
28 11 35
2 5 44
14 30 46
24 15 2
15 26 44
28 4 5
27 11 1
10 4 12
10 15 9
1 16 28
8 17 39
15 11 19
17 30 25
27 22 25
4 21 8
12 26 29
17 19 34
20 4 33
18 25 39
18 30 5
4 6 28
29 22 36
12 27 3
10 19 6
21 13 35
1 20 25
21 28 33
24 21 45
11 27 43
25 11 25
20 16 34
13 7 20
3 8 40
8 1 45
16 28 16
8 24 47
14 16 21
23 15 11
3 20 23
30 16 39
12 18 48
26 19 32
23 26 29
11 24 1
30 5 11
9 6 41
29 7 19
16 6 6
7 9 44
10 22 25
25 26 40
11 5 6
