170 9400
6 133 26
127 41 3
76 130 35
3 79 31
68 168 21
4 18 45
45 99 33
88 45 32
148 9 25
149 32 33
30 99 4
11 157 25
60 168 31
86 49 9
147 170 10
127 35 50
170 163 26
108 126 19
17 109 6
39 147 31
99 109 8
86 169 10
103 71 10
145 53 43
11 20 33
160 78 32
31 97 25
79 133 20
1 6 3
128 149 17
104 101 34
143 144 29
27 167 35
161 28 36
102 121 19
88 104 36
89 125 39
170 158 45
168 44 30
104 13 42
153 131 50
60 22 47
34 50 31
105 139 6
64 82 2
94 131 27
36 79 6
84 160 40
94 115 19
14 51 30
117 103 44
32 12 11
45 134 16
13 147 23
88 127 33
167 168 14
97 18 3
32 47 5
156 26 35
143 45 36
83 20 33
94 47 6
97 138 4
72 64 8
137 155 3
74 2 26
49 94 6
1 93 25
9 69 4
76 31 1
147 5 26
74 56 33
25 144 6
15 88 6
119 24 48
99 161 22
53 77 30
47 118 46
132 40 41
170 144 15
53 51 14
162 84 11
133 9 21
63 42 33
48 103 7
127 168 29
33 62 27
152 112 2
52 89 13
61 160 31
50 27 46
146 164 28
95 152 45
52 98 18
81 35 37
118 131 39
121 55 11
66 84 31
41 96 38
8 6 21
129 170 11
31 61 10
23 83 15
153 79 7
38 134 46
131 3 47
84 133 17
135 114 48
54 127 46
88 142 7
129 82 19
71 115 49
162 44 36
47 104 16
73 26 32
86 5 45
69 160 27
128 118 9
4 25 19
12 41 40
150 34 40
170 154 19
47 141 19
140 41 9
10 3 20
131 167 10
12 15 24
111 81 6
47 115 3
87 132 2
170 169 34
11 153 25
146 38 23
100 69 18
45 53 36
88 107 26
120 52 22
137 82 22
24 74 33
79 90 15
47 126 17
83 118 18
28 41 26
67 61 6
24 67 30
53 45 50
27 21 23
30 115 3
66 20 5
28 139 39
76 33 49
108 101 17
110 134 50
5 2 15
118 9 45
96 51 36
104 85 24
67 75 25
17 41 48
52 23 35
120 55 10
34 125 18
56 124 28
118 139 10
20 49 48
39 31 32
18 55 11
34 41 24
104 112 19
66 145 13
58 168 7
121 4 48
102 1 9
113 7 40
169 166 38
36 72 45
17 106 5
99 81 14
44 151 35
12 82 40
158 134 48
5 161 21
141 115 38
31 83 37
9 25 3
112 21 35
112 40 48
110 67 9
102 70 1
59 36 33
68 35 31
21 82 3
148 36 24
106 56 7
149 110 34
154 9 4
1 163 18
94 129 9
59 31 39
65 29 19
119 72 23
159 89 22
62 94 12
37 108 5
108 82 30
43 10 48
102 118 18
20 15 9
11 166 47
29 153 17
122 19 13
159 142 33
100 40 43
126 158 32
54 152 24
143 12 35
109 43 11
23 20 38
22 42 32
25 170 6
147 116 33
142 81 23
49 38 21
39 49 48
114 29 21
65 147 24
93 89 10
109 39 13
42 135 25
110 115 39
129 157 6
122 102 24
57 28 26
149 98 13
92 110 38
1 33 42
20 75 9
89 71 5
123 50 43
101 77 3
6 136 44
113 136 8
8 39 24
72 54 4
46 50 36
39 88 16
15 136 7
72 34 25
105 11 23
48 101 29
167 47 34
105 10 27
31 170 8
97 56 16
89 55 37
17 28 30
72 144 18
82 133 28
27 96 10
53 120 37
72 19 23
74 117 30
143 127 11
125 46 15
98 78 44
155 32 44
14 87 10
89 149 22
22 23 8
97 63 32
95 24 12
151 147 37
137 22 26
138 113 33
134 67 37
81 43 50
157 140 19
92 24 24
93 167 40
138 13 31
160 150 5
67 52 12
161 116 17
118 166 47
67 13 20
147 94 17
128 92 24
137 10 29
65 77 48
159 82 48
4 117 26
24 53 42
71 72 16
98 137 48
28 81 45
40 170 41
53 47 43
81 8 42
28 157 40
12 68 39
168 128 13
122 159 8
75 160 6
2 110 29
47 59 31
1 90 26
23 107 22
23 126 35
53 135 48
150 114 50
136 89 45
168 142 32
73 15 45
121 96 42
162 69 2
58 136 2
84 160 29
15 1 50
78 160 7
26 12 15
90 140 16
80 51 48
74 19 19
91 93 25
145 152 37
47 82 28
160 149 35
64 130 45
49 112 12
119 2 19
34 31 20
63 149 27
103 168 42
88 150 46
88 131 33
141 119 40
13 30 29
164 149 36
58 17 27
50 20 19
73 31 2
81 47 23
78 16 12
24 110 13
15 61 50
157 79 11
49 40 1
170 137 1
72 106 7
54 44 24
159 109 32
62 156 19
6 43 43
126 49 36
8 14 9
148 61 41
61 23 15
109 17 50
85 169 11
36 9 6
94 19 30
54 154 17
77 3 25
78 99 23
142 125 13
25 72 24
83 61 49
42 18 30
164 83 45
147 53 45
30 77 47
111 56 46
169 100 7
141 56 10
166 107 22
147 4 45
84 4 13
6 20 8
44 126 5
77 25 26
34 132 34
101 75 25
134 93 24
32 152 19
121 134 13
138 23 37
41 89 37
27 68 3
121 153 26
120 1 46
126 60 36
55 48 15
169 12 15
41 162 27
147 159 40
28 7 17
94 14 49
76 61 16
5 16 47
133 149 16
62 44 33
80 70 6
117 60 15
35 82 12
46 22 5
101 165 39
48 95 23
134 100 40
148 79 20
32 98 25
152 44 4
18 79 7
114 76 39
6 96 16
124 85 14
47 134 18
145 120 33
37 59 35
120 10 27
55 63 13
97 160 33
33 170 46
120 131 24
153 55 15
113 132 24
12 63 43
129 100 24
48 79 28
63 91 7
100 99 20
58 62 14
145 64 30
145 150 33
72 126 45
114 118 12
81 117 40
23 86 18
103 148 21
46 52 18
100 152 31
92 40 36
35 92 16
41 9 3
77 8 48
42 105 1
128 71 33
3 115 24
27 111 39
76 86 35
66 8 10
12 128 37
27 165 46
168 146 14
72 69 46
87 66 13
59 124 27
34 101 13
9 115 43
26 163 10
2 153 23
155 96 2
164 40 27
4 8 43
26 98 29
39 163 45
14 34 26
15 170 35
132 45 42
33 12 8
137 72 49
160 80 27
19 114 44
100 33 29
31 136 50
142 89 11
13 108 4
121 66 2
111 82 20
33 49 11
25 71 16
18 131 21
48 76 12
130 37 18
82 157 11
102 141 4
85 130 17
132 75 42
167 25 22
36 12 9
163 56 17
89 56 9
63 167 28
42 169 12
6 15 36
123 92 29
75 150 42
148 119 37
29 127 3
51 159 48
91 83 48
76 150 9
160 22 35
154 73 4
62 47 23
99 162 38
41 24 14
136 150 42
68 155 47
53 30 12
157 166 48
68 62 4
113 13 48
163 139 28
116 59 44
11 54 50
13 19 29
52 119 13
126 104 40
62 169 26
81 97 33
60 55 11
135 140 37
74 152 40
118 84 21
158 142 21
40 9 15
150 101 30
65 10 34
162 104 23
115 49 39
84 52 1
47 167 8
90 102 47
69 105 27
71 91 42
54 45 34
8 76 29
48 40 21
101 123 13
146 90 28
133 163 6
145 70 25
53 25 31
71 129 4
61 78 32
123 114 43
54 101 50
89 73 29
10 59 9
117 2 21
30 64 1
123 24 5
54 167 37
1 143 50
125 141 25
159 41 36
52 53 22
60 34 22
4 76 14
137 102 21
170 4 24
68 129 20
116 124 14
32 9 38
137 3 15
11 109 12
101 148 19
44 93 17
169 120 30
41 136 42
168 163 23
33 142 39
124 30 25
31 28 24
113 63 16
40 38 32
77 87 46
3 143 20
142 117 31
58 95 17
18 42 8
149 55 21
34 143 8
32 156 34
38 37 11
26 134 24
2 140 18
152 155 24
143 1 8
40 170 43
117 157 29
119 68 12
40 128 46
23 70 21
95 42 17
99 48 2
100 43 35
79 46 15
55 76 20
46 42 1
87 163 1
127 105 5
13 76 13
49 129 5
158 28 2
170 158 36
63 73 21
2 52 26
86 101 1
156 159 20
94 20 2
124 48 28
96 147 43
105 65 48
35 30 24
16 47 44
70 45 9
152 120 43
