110 4030
23 42 21
1 90 11
34 67 9
41 6 44
21 7 8
62 27 49
32 70 21
3 52 14
15 74 20
8 53 32
72 95 29
78 5 33
8 45 28
15 20 49
73 110 33
34 81 29
70 11 30
22 88 5
76 65 27
29 27 41
88 94 10
78 9 39
30 14 45
107 42 32
94 84 42
17 28 18
93 73 8
87 95 6
85 12 15
91 56 43
34 55 12
91 49 4
52 18 45
55 76 16
108 70 11
23 31 25
42 100 9
43 62 13
5 76 31
18 27 38
9 12 32
28 47 22
59 26 37
79 110 31
19 60 3
39 30 12
106 81 32
65 99 47
30 14 22
101 57 30
26 42 36
94 29 3
68 45 12
4 3 15
35 48 37
35 18 45
47 22 3
7 58 11
27 69 21
78 62 28
41 52 29
86 74 15
110 98 49
48 54 40
3 86 24
25 42 4
59 84 19
13 106 45
40 18 40
27 46 10
14 41 8
78 76 47
24 110 34
61 96 21
50 70 13
72 34 3
17 39 45
83 73 31
71 17 32
19 82 35
35 89 46
21 48 35
74 56 20
99 2 16
105 74 26
2 55 46
67 39 2
64 17 22
86 102 11
107 22 7
68 79 18
100 108 2
99 77 46
47 97 10
49 43 32
75 92 3
40 95 35
67 69 30
98 66 12
16 29 4
88 20 50
96 38 1
94 31 25
7 41 20
19 89 15
68 18 44
16 93 25
59 52 43
101 56 20
42 61 8
103 69 39
71 26 9
8 41 25
7 56 36
65 34 15
60 100 7
94 66 19
100 70 11
93 3 18
6 44 37
102 45 15
18 82 43
7 98 38
84 19 42
52 2 32
36 108 41
72 67 13
23 3 38
49 100 49
30 43 39
32 11 24
88 48 10
37 36 46
53 43 38
36 51 1
74 76 11
13 83 16
76 106 31
94 84 45
46 57 7
32 95 22
67 103 36
102 40 21
51 16 27
88 44 12
1 66 43
36 9 40
59 84 9
74 94 1
88 21 28
7 75 26
23 95 13
2 6 22
39 109 7
40 49 17
57 34 15
44 74 15
110 90 40
51 20 33
38 108 11
98 4 49
15 20 29
20 47 36
106 7 50
104 108 41
72 87 5
15 64 35
62 7 50
86 99 39
26 80 29
73 99 3
5 78 43
81 43 5
102 78 25
1 65 19
97 2 13
10 11 43
63 96 9
85 101 31
12 106 8
100 9 13
48 96 4
80 90 5
44 49 43
58 5 41
95 60 42
58 67 16
73 48 43
88 92 29
107 67 5
104 70 50
47 108 9
68 56 24
58 94 6
33 34 50
102 17 14
62 25 40
12 56 43
100 31 37
103 5 8
26 43 3
31 16 39
24 29 13
17 81 9
56 34 23
38 8 50
70 52 25
29 37 6
58 97 16
31 61 46
26 79 47
3 70 24
99 65 39
4 85 28
51 3 42
12 95 12
34 106 15
58 16 27
1 54 23
86 5 45
93 10 25
14 17 4
14 58 5
