35 130
3 10 42
29 12 11
11 9 24
14 12 37
14 11 48
5 22 1
16 33 16
23 17 49
4 23 14
11 29 29
6 20 39
11 30 28
2 35 29
25 32 33
24 35 41
26 15 14
19 28 28
33 15 5
8 17 2
31 9 27
2 10 11
6 24 42
27 18 24
2 22 49
9 12 30
26 7 37
16 23 35
9 33 25
21 11 37
12 30 7
28 29 17
12 31 36
4 14 22
33 32 26
10 16 33
4 17 30
14 26 43
22 24 34
29 19 29
21 25 20
29 9 28
21 13 18
32 33 27
25 26 42
11 23 1
19 35 37
33 3 10
24 33 50
20 27 40
30 34 11
32 8 48
19 7 14
8 1 39
15 23 26
31 5 29
26 23 33
34 10 32
28 21 38
12 19 41
7 22 32
28 16 14
14 21 32
23 3 15
28 33 39
6 27 49
2 30 44
15 13 5
27 22 14
5 6 21
23 19 32
11 20 21
3 25 43
23 6 16
25 7 26
21 33 21
34 9 44
30 34 18
24 6 36
22 26 21
35 18 8
32 21 43
9 29 4
10 19 9
8 1 27
2 3 30
5 9 15
10 14 40
2 9 37
20 26 41
29 5 25
1 29 45
1 28 34
26 14 2
8 5 45
12 21 10
20 33 46
32 3 14
12 22 2
19 10 5
26 30 37
28 11 26
7 22 40
15 14 6
20 33 48
34 28 30
31 17 50
27 29 46
12 5 34
3 10 8
30 6 5
11 4 12
32 9 23
32 7 35
20 22 23
11 6 24
19 11 24
19 25 41
10 2 8
1 30 20
13 22 2
13 29 17
4 9 45
13 5 13
27 16 38
10 24 31
15 9 41
35 8 29
1 29 26
27 24 26
11 25 23
