125 6960
18 61 17
91 38 17
55 7 24
125 80 24
95 24 23
111 78 3
96 16 24
24 14 48
120 110 29
16 17 40
35 19 33
64 112 40
96 18 33
77 34 44
115 25 17
39 6 28
98 47 8
27 35 24
120 83 17
35 37 23
3 28 42
105 123 49
1 29 14
68 75 35
70 87 2
96 64 41
27 49 43
99 14 13
2 121 14
95 65 10
64 52 2
112 91 39
39 89 39
67 42 35
52 124 45
114 59 4
61 74 2
98 107 8
108 95 22
93 57 17
66 36 28
116 28 45
30 121 18
19 33 35
78 74 15
9 83 10
7 29 46
20 85 13
35 22 34
97 78 17
31 57 50
16 116 8
117 98 50
94 8 14
65 24 7
5 86 34
37 113 1
38 108 34
37 49 16
12 42 10
106 23 17
84 64 49
20 32 15
38 59 34
57 41 18
123 7 49
11 77 41
74 67 47
2 104 36
21 40 21
105 108 9
59 70 46
36 48 9
109 34 1
66 100 39
69 54 32
8 67 31
105 59 9
22 26 9
117 81 15
109 10 21
105 119 23
20 73 29
118 47 45
112 41 5
16 2 13
113 96 2
11 61 9
101 119 29
10 38 1
21 44 32
91 36 50
25 72 35
24 93 33
112 52 19
81 4 27
118 119 42
8 55 34
84 11 27
94 7 44
70 14 34
41 116 30
65 112 45
56 72 27
61 99 34
125 7 32
64 53 27
51 8 13
14 19 50
45 83 23
81 41 30
41 35 41
89 75 18
24 40 35
34 90 48
102 25 3
40 29 34
15 22 28
119 115 17
4 74 32
29 101 40
92 33 18
2 120 6
44 57 37
86 72 48
49 83 48
9 17 45
54 59 9
23 94 15
34 37 13
81 41 43
44 11 42
67 95 4
91 8 21
48 14 45
32 18 43
72 42 49
81 75 41
93 97 47
16 87 46
114 111 7
35 28 29
112 116 30
85 19 50
118 81 5
116 42 22
68 66 41
74 5 16
17 110 3
9 49 10
57 10 10
34 117 19
116 3 30
69 51 2
109 16 40
58 119 7
17 22 11
53 54 4
46 93 30
116 7 41
105 79 47
34 41 37
57 109 2
112 111 49
21 80 14
67 2 31
87 100 22
38 1 27
12 18 1
125 89 46
68 77 4
73 59 9
19 60 48
25 56 12
116 71 39
55 50 44
17 98 19
107 115 38
29 104 17
119 76 34
6 113 47
110 59 23
93 13 15
123 88 29
23 20 38
123 65 45
31 11 2
34 40 27
14 6 32
118 54 19
40 62 11
114 124 29
88 15 8
113 6 6
81 14 33
72 20 6
37 62 23
123 50 43
101 77 3
2 30 34
107 13 3
107 12 44
37 23 31
123 27 32
46 11 44
83 114 5
107 5 4
28 63 2
119 55 45
80 7 3
75 119 43
38 90 31
25 111 18
70 35 27
69 98 22
40 119 6
45 5 37
82 18 41
94 40 47
61 36 33
92 100 6
55 107 15
54 75 32
113 33 14
117 97 27
16 15 20
28 104 16
48 123 30
2 99 2
49 63 40
91 34 8
69 21 44
47 6 7
18 107 14
120 100 10
65 123 43
31 28 22
93 125 43
32 36 31
44 108 30
5 99 3
43 24 12
59 57 13
16 44 24
123 5 3
65 118 49
55 125 18
61 66 46
112 15 33
56 42 44
51 35 39
1 34 10
63 112 11
91 7 9
42 89 2
16 51 40
119 102 8
51 63 30
47 1 26
105 65 46
120 76 16
25 99 47
100 54 20
113 35 49
103 59 15
24 78 48
125 41 47
96 124 30
113 69 47
22 18 40
79 68 14
35 117 31
75 118 22
92 7 46
87 98 31
32 20 12
50 5 34
117 24 9
6 14 39
99 2 18
80 78 43
15 107 45
109 29 47
35 29 39
74 49 19
120 37 37
1 66 32
114 73 25
54 48 22
98 118 24
9 115 1
55 108 40
89 81 11
41 79 3
71 58 43
41 117 29
104 1 47
53 63 13
106 72 19
107 89 40
53 123 27
103 73 47
58 6 26
24 45 5
103 12 37
13 91 22
25 58 5
100 93 1
15 46 11
62 110 24
41 13 29
25 19 13
57 60 33
41 45 18
2 28 43
62 45 43
70 121 28
58 93 35
61 8 13
21 5 29
75 64 41
44 13 7
122 21 46
34 19 36
24 109 3
65 68 28
104 16 45
51 24 10
93 102 17
24 3 21
67 98 49
36 9 19
66 84 33
77 83 31
110 26 35
32 15 14
30 104 42
15 106 11
34 7 39
38 118 40
53 11 41
87 51 2
92 33 7
105 31 33
54 66 38
108 125 13
105 15 25
26 29 48
118 58 34
29 36 48
20 42 21
47 46 13
103 111 5
47 119 3
5 44 1
61 15 42
107 97 11
111 74 49
26 76 15
15 106 24
63 20 6
55 105 10
30 55 18
113 88 18
35 104 13
78 75 42
20 118 29
115 119 2
83 69 20
106 28 42
29 3 5
52 23 37
36 87 49
106 114 1
123 70 15
118 46 50
92 74 34
18 74 26
50 95 6
63 38 9
18 90 7
120 70 27
22 80 34
56 120 32
121 4 50
31 30 28
13 97 17
16 53 33
91 88 29
117 36 34
90 48 24
115 80 23
100 82 29
66 80 7
78 60 16
66 57 23
29 82 18
6 88 43
83 22 42
67 7 27
97 48 47
46 28 24
14 106 23
123 107 31
43 116 32
48 76 12
35 57 48
50 48 28
80 6 50
70 89 10
57 104 10
95 32 24
90 119 38
91 69 42
72 110 9
57 51 12
8 34 19
99 64 38
36 30 12
72 122 19
93 62 30
52 80 21
50 85 44
24 19 20
96 65 2
16 41 25
8 23 18
12 92 22
90 102 47
6 4 11
88 80 4
27 17 12
107 42 46
81 36 36
53 78 42
93 42 34
45 100 47
31 79 13
85 64 39
44 108 19
44 6 8
24 102 31
3 82 27
2 106 7
94 16 42
57 80 29
27 5 15
85 41 28
63 2 7
6 87 22
51 36 24
17 16 35
16 40 15
53 89 29
80 7 18
124 37 28
51 29 21
15 96 7
68 124 26
54 63 37
41 97 50
26 78 8
84 40 17
91 102 6
34 51 5
87 15 9
87 101 49
40 8 45
32 31 39
69 44 43
98 96 12
71 56 10
69 37 3
36 93 40
92 49 32
56 34 47
102 15 1
32 61 39
34 73 6
10 84 28
64 8 44
28 69 50
6 109 36
14 9 24
124 18 41
111 39 28
76 64 48
101 10 44
11 57 40
39 70 30
62 57 29
50 67 12
111 73 26
38 22 22
19 82 39
79 80 26
54 37 10
88 16 48
85 105 15
67 34 40
40 12 5
10 83 45
91 2 30
69 89 4
73 114 2
48 27 3
82 41 12
123 86 40
89 65 5
22 21 30
63 19 40
54 25 13
7 57 4
25 23 13
30 35 39
89 57 6
77 7 25
7 59 50
3 25 3
115 1 40
30 70 33
59 82 47
41 96 29
122 74 19
73 98 7
94 15 34
122 44 32
17 95 20
37 59 11
124 75 12
9 15 14
87 70 41
41 100 40
120 64 10
38 28 28
2 55 40
109 117 3
110 17 32
31 24 11
23 71 9
23 122 11
2 6 3
118 47 49
85 120 26
84 124 16
111 83 43
99 80 50
30 21 9
13 25 33
4 116 20
107 51 5
81 46 28
36 80 22
66 88 46
117 18 20
110 97 38
5 51 43
50 75 40
92 45 19
7 40 26
112 45 20
11 65 24
107 97 13
12 82 18
110 51 43
97 72 30
65 3 35
56 90 21
30 85 7
28 46 24
93 14 40
80 35 27
125 120 34
86 111 7
52 16 23
78 31 1
89 3 38
84 33 32
75 60 4
16 114 32
100 67 33
6 1 23
94 22 46
99 8 15
76 14 40
117 55 36
10 70 27
42 29 8
18 21 17
52 76 50
57 1 46
64 41 47
104 20 20
81 102 3
101 43 47
95 55 24
75 14 22
118 108 4
111 45 19
34 112 29
121 114 45
9 69 50
110 85 30
6 111 29
14 27 25
66 114 7
112 100 39
26 33 23
43 8 50
77 1 23
73 29 13
60 70 2
65 52 7
69 122 7
61 60 18
90 93 11
55 99 48
95 97 34
51 64 5
116 36 49
14 120 44
8 28 1
51 108 48
73 100 14
42 12 30
120 122 30
56 105 8
122 53 15
108 77 40
87 54 31
63 44 44
67 48 43
56 6 2
10 4 49
26 77 42
87 110 47
70 19 37
114 89 39
76 119 1
25 47 24
39 42 12
17 44 29
82 101 30
29 111 37
76 96 17
89 39 20
66 79 39
14 8 1
31 38 1
4 61 18
57 64 37
96 84 17
99 40 33
93 35 20
101 98 29
45 77 25
91 92 4
81 108 22
105 52 28
20 6 34
48 82 20
122 67 47
94 111 39
105 10 31
72 91 11
53 41 41
20 82 29
95 20 5
118 14 48
94 123 49
117 9 26
80 105 20
24 7 25
103 26 18
115 120 42
22 30 15
21 71 22
93 35 33
12 73 24
124 76 22
39 29 32
19 87 9
22 76 23
44 112 32
91 87 23
36 29 44
91 45 26
45 62 36
107 16 8
2 52 15
87 76 21
11 18 17
16 44 28
29 26 46
113 77 37
83 43 24
81 88 39
55 83 25
1 117 12
47 86 17
28 103 37
40 68 34
122 22 7
121 66 46
26 110 19
38 64 8
22 75 13
60 105 38
88 14 28
87 79 9
96 52 37
66 101 2
111 66 12
23 65 29
109 29 38
119 56 17
99 58 25
11 16 41
35 117 35
68 19 1
77 91 8
50 92 7
45 43 12
93 99 20
98 23 20
57 41 11
35 32 48
107 33 28
39 77 48
5 116 27
111 61 31
58 112 39
76 122 4
50 76 39
103 19 44
107 89 44
37 110 2
54 85 29
34 95 22
21 116 9
62 14 24
19 20 48
9 29 22
56 107 1
47 58 1
125 42 6
86 19 44
77 44 30
123 13 35
123 32 48
33 111 33
110 105 26
110 63 29
68 83 12
69 100 33
116 119 7
69 93 30
16 73 7
89 60 26
49 35 24
28 72 29
3 24 22
111 90 48
5 20 49
116 107 10
116 24 12
23 22 11
43 99 3
93 36 47
23 57 5
107 10 6
24 32 29
98 94 47
103 76 15
29 94 30
43 11 11
53 80 37
69 79 44
12 82 20
14 95 14
16 107 18
106 5 49
81 117 31
91 100 17
77 24 47
112 40 28
111 23 7
93 100 45
60 29 41
76 102 34
49 103 33
5 48 16
54 46 46
29 91 1
122 62 13
22 20 11
113 49 30
17 113 38
93 9 48
100 3 20
13 97 8
3 27 23
103 34 4
2 54 8
33 63 45
50 7 5
68 93 29
26 15 22
27 77 45
76 93 42
99 95 26
24 57 48
48 41 46
75 63 24
122 1 16
1 38 16
100 6 38
86 4 17
103 55 39
102 12 29
57 72 49
27 16 48
16 49 39
77 104 2
57 104 1
68 76 38
90 47 5
70 66 17
35 69 49
62 89 11
2 65 35
22 8 27
92 122 28
20 13 50
87 31 36
44 2 39
93 13 8
82 65 12
110 1 11
49 121 12
64 14 50
45 105 19
102 99 11
10 73 30
97 34 8
8 111 1
98 9 32
22 56 44
60 14 1
57 81 30
54 69 32
12 90 4
110 43 21
85 76 27
89 25 3
1 60 30
12 6 10
36 76 11
94 86 35
26 111 42
8 118 17
31 52 9
107 49 40
15 56 7
75 122 41
50 51 50
23 6 1
91 4 1
93 1 24
90 91 37
118 10 39
54 75 25
11 40 11
113 1 18
20 26 15
100 51 12
17 32 34
121 83 26
56 42 24
60 27 10
118 14 50
116 75 5
35 95 10
3 86 29
121 101 16
16 29 32
107 118 8
55 15 18
121 37 31
36 32 38
40 57 36
69 48 32
76 88 33
38 95 7
73 118 32
88 67 15
39 53 14
46 75 48
12 73 26
38 36 43
120 15 16
115 106 1
101 30 31
106 31 49
78 54 42
122 124 44
105 67 28
40 26 26
67 100 22
38 124 48
38 83 10
58 22 1
105 63 30
115 18 9
3 28 37
120 19 27
108 115 13
70 10 43
